"country","Date","Doses_admin","People_at_least_one_dose","Population","VaxxedPercentage","VaxxedOncePercentage","TotalDosesPerIndividual","state legitimacy","region","freedom_status","FOE","civil_liberties"
"Turkey","2022-03-01",145631632,57682903,84339067,68.3940492251355,68.3940492251355,1.72673989860476,7.3,"Europe","NF",5,16
"Tuvalu","2022-03-01",12114,6230,NA,NA,NA,NA,NA,"Asia","F",16,56
"Uganda","2022-03-01",16672943,13809794,45741000,30.191281344964,30.191281344964,0.364507618985156,8.5,"Africa","NF",8,23
"Ukraine","2022-03-01",31668577,15774300,43733759,36.0689324693082,36.0689324693082,0.724121999208895,6.5,"Eurasia","PF",11,35
"United Arab Emirates","2022-03-01",24119061,9881456,9890400,99.9095688748686,99.9095688748686,2.43863352341665,6.4,"Middle East","NF",3,12
"United Kingdom","2022-03-01",139884311,52634448,67886004,77.5335782026587,77.5335782026587,2.0605765954349,3.3,"Europe","F",14,54
"United States","2022-03-01",561158853,254181862,329466283,77.1495825568287,77.1495825568287,1.70323605769395,4.5,"Americas","F",14,51
"Uruguay","2022-03-01",7639548,2956142,3473727,85.1000092983703,85.1000092983703,2.19923672758395,0.4,"Americas","F",16,57
"Uzbekistan","2022-03-01",42121870,18446210,NA,NA,NA,NA,9.2,"Eurasia","NF",3,9
"Vanuatu","2022-03-01",199464,114284,NA,NA,NA,NA,NA,"Asia","F",14,49
"Venezuela","2022-03-01",37860994,22157232,28435943,77.919807336792,77.919807336792,1.33144851218755,9.6,"Americas","NF",6,13
"Vietnam","2022-03-01",194970502,79373871,97338583,81.5440995273169,81.5440995273169,2.00301356349106,8.3,"Asia","NF",3,16
"Yemen","2022-03-01",772574,614653,NA,NA,NA,NA,9.9,"Middle East","NF",2,8
"Zambia","2022-03-01",2863132,2487149,NA,NA,NA,NA,7.2,"Africa","PF",8,30
"Zimbabwe","2022-03-01",7890951,4362150,14862927,29.3491988489212,29.3491988489212,0.530915007521735,8.9,"Africa","NF",7,17
