"Date","country","Doses_admin","People_at_least_one_dose","Population","VaxxedPercentage","VaxxedOncePercentage","TotalDosesPerIndividual"
"2022-03-01","Suriname",502059,266344,586634,45.4020735245485,45.4020735245485,0.855830040536348
"2022-03-01","Sweden",20574867,7757480,10099270,76.8122844522426,76.8122844522426,2.03726279226122
"2022-03-01","Switzerland",15571827,6074190,8654618,70.1843801771494,70.1843801771494,1.799250642836
"2022-03-01","Syria",3187594,2197941,NA,NA,NA,NA
"2022-03-01","Taiwan",47148570,19342050,23816775,81.2118769228831,81.2118769228831,1.979637041539
"2022-03-01","Tajikistan",9279471,4916961,NA,NA,NA,NA
"2022-03-01","Tanzania",4440797,3223953,NA,NA,NA,NA
"2022-03-01","Thailand",123840373,53615130,69799978,76.8125313735772,76.8125313735772,1.77421793743259
"2022-03-01","Timor-Leste",1259011,677178,NA,NA,NA,NA
"2022-03-01","Togo",2515341,1415448,8278737,17.0973905802298,17.0973905802298,0.303831490238185
"2022-03-01","Tonga",147193,76910,NA,NA,NA,NA
"2022-03-01","Trinidad and Tobago",1524592,741408,1399491,52.9769752002692,52.9769752002692,1.08939035692262
"2022-03-01","Tunisia",12993306,7160078,11818618,60.583039404438,60.583039404438,1.0993930085565
"2022-03-01","Turkey",145631632,57682903,84339067,68.3940492251355,68.3940492251355,1.72673989860476
"2022-03-01","Tuvalu",12114,6230,NA,NA,NA,NA
"2022-03-01","US",561158853,254181862,329466283,77.1495825568287,77.1495825568287,1.70323605769395
"2022-03-01","Uganda",16672943,13809794,45741000,30.191281344964,30.191281344964,0.364507618985156
"2022-03-01","Ukraine",31668577,15774300,43733759,36.0689324693082,36.0689324693082,0.724121999208895
"2022-03-01","United Arab Emirates",24119061,9881456,9890400,99.9095688748686,99.9095688748686,2.43863352341665
"2022-03-01","United Kingdom",139884311,52634448,67886004,77.5335782026587,77.5335782026587,2.0605765954349
"2022-03-01","Uruguay",7639548,2956142,3473727,85.1000092983703,85.1000092983703,2.19923672758395
"2022-03-01","Uzbekistan",42121870,18446210,NA,NA,NA,NA
"2022-03-01","Vanuatu",199464,114284,NA,NA,NA,NA
"2022-03-01","Venezuela",37860994,22157232,28435943,77.919807336792,77.919807336792,1.33144851218755
"2022-03-01","Vietnam",194970502,79373871,97338583,81.5440995273169,81.5440995273169,2.00301356349106
"2022-03-01","West Bank and Gaza",3425379,1910794,NA,NA,NA,NA
"2022-03-01","Yemen",772574,614653,NA,NA,NA,NA
"2022-03-01","Zambia",2863132,2487149,NA,NA,NA,NA
"2022-03-01","Zimbabwe",7890951,4362150,14862927,29.3491988489212,29.3491988489212,0.530915007521735
